,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel,Candidate_w_FC
SK1_02T02850.1|CDS=1-780|Name=YBR191W|RPL21A,765.9333901,-2.319802497,0.200692322,-11.55899974,6.65E-31,1.86E-29,DOWN,RPL21A,FALSE,NA,HIT
SK1_12T02010.1|CDS=1-822|Name=YLR150W|STM1,2213.464143,-1.861134929,0.161799613,-11.50271557,1.28E-30,3.52E-29,DOWN,STM1,FALSE,NA,HIT
SK1_04T01550.1|CDS=1-600|Name=YDL082W|RPL13A,259.3900164,-2.119762216,0.184611676,-11.48227601,1.62E-30,4.44E-29,DOWN,RPL13A,FALSE,NA,HIT
SK1_12T02070.1|CDS=1-507|Name=YLR164W|SHH4,215.3664013,-2.628216431,0.229370822,-11.45837298,2.13E-30,5.80E-29,DOWN,SHH4,FALSE,NA,HIT
SK1_09T01890.1|CDS=1-1122|Name=YIR034C|LYS1,2153.393044,-3.033787633,0.265411226,-11.43051737,2.94E-30,7.89E-29,DOWN,LYS1,FALSE,NA,HIT
SK1_13T00670.1|CDS=1-768|Name=YML063W|RPS1B,1618.15312,-2.13482046,0.186767224,-11.43038064,2.95E-30,7.89E-29,DOWN,RPS1B,FALSE,NA,HIT
SK1_04T02720.1|CDS=1-1335|Name=YDR055W|PST1,2147.963225,-2.762369745,0.241866163,-11.42106737,3.28E-30,8.74E-29,DOWN,PST1,FALSE,NA,HIT
SK1_14T03710.1|CDS=1-1137|Name=YNR074C|AIF1,471.5844084,-2.084734695,0.183155895,-11.38229647,5.12E-30,1.34E-28,DOWN,AIF1,FALSE,NA,HIT
SK1_16T03940.1|CDS=1-1719|Name=YPR145W|ASN1,6121.12399,-2.682202504,0.23664321,-11.33437339,8.87E-30,2.26E-28,DOWN,ASN1,FALSE,NA,HIT
SK1_04T01090.1|CDS=1-321|Name=YDL130W|RPP1B,528.5706568,-1.757957452,0.156648572,-11.22230115,3.17E-29,7.98E-28,DOWN,RPP1B,FALSE,NA,HIT
SK1_11T00550.1|CDS=1-1026|Name=YKL164C|PIR1,1178.276589,-2.375265042,0.212826694,-11.16055981,6.36E-29,1.59E-27,DOWN,PIR1,FALSE,NA,HIT
SK1_05T00060.1|CDS=1-333|Name=YEL068C|YEL068C,245.077844,-2.773042613,0.248780757,-11.14653178,7.45E-29,1.84E-27,DOWN,YEL068C,FALSE,NA,HIT
SK1_15T04140.1|CDS=1-1236|Name=YOR303W|CPA1,8959.37228,-1.878060412,0.170232019,-11.03235703,2.67E-28,6.45E-27,DOWN,CPA1,FALSE,NA,HIT
SK1_12T03590.1|CDS=1-939|Name=YLR340W|RPP0,3212.034898,-1.88636184,0.171237185,-11.01607599,3.20E-28,7.69E-27,DOWN,RPP0,FALSE,NA,HIT
SK1_15T04120.1|CDS=1-2241|Name=YOR299W|BUD7,268.0747438,-2.247151579,0.204442792,-10.99159113,4.19E-28,1.00E-26,DOWN,BUD7,FALSE,NA,HIT
SK1_16T00330.1|CDS=1-303|Name=YPL249C-A|RPL36B,600.3625486,-1.713498156,0.155943723,-10.98792644,4.37E-28,1.04E-26,DOWN,RPL36B,FALSE,NA,HIT
SK1_08T00320.1|CDS=1-366|Name=YHL015W|RPS20,727.7008817,-1.831464278,0.1677848,-10.91555542,9.71E-28,2.28E-26,DOWN,RPS20,FALSE,NA,HIT
SK1_12T02250.1|CDS=1-267|Name=YLR185W|RPL37A,460.8765448,-1.870977419,0.172147359,-10.86846426,1.63E-27,3.79E-26,DOWN,RPL37A,FALSE,NA,HIT
SK1_08T00570.1|CDS=1-411|Name=YHR010W|RPL27A,533.3942913,-1.749965037,0.162115804,-10.79453697,3.65E-27,8.46E-26,DOWN,RPL27A,FALSE,NA,HIT
SK1_11T00650.1|CDS=1-744|Name=YKL152C|GPM1,2782.521071,-3.318837084,0.310068866,-10.7035483,9.80E-27,2.19E-25,DOWN,GPM1,FALSE,NA,HIT
SK1_14T02130.1|CDS=1-573|Name=YNL096C|RPS7B,400.4378533,-1.68117431,0.157073774,-10.70308724,9.84E-27,2.20E-25,DOWN,RPS7B,FALSE,NA,HIT
SK1_08T00190.1|CDS=1-1851|Name=YHL028W|WSC4,461.5135995,-2.302635916,0.215965068,-10.66207578,1.53E-26,3.38E-25,DOWN,WSC4,FALSE,NA,HIT
SK1_06T00330.1|CDS=1-369|Name=YFL034C-A|RPL22B,118.9430425,-3.265717954,0.30634871,-10.66013288,1.56E-26,3.43E-25,DOWN,RPL22B,FALSE,NA,HIT
SK1_14T02050.1|CDS=1-1860|Name=YNL104C|LEU4,7921.241607,-2.191229017,0.205960968,-10.63904992,1.96E-26,4.27E-25,DOWN,LEU4,FALSE,NA,HIT
SK1_07T03040.1|CDS=1-525|Name=YGR085C|RPL11B,716.0137336,-1.986486916,0.187257714,-10.60830484,2.73E-26,5.89E-25,DOWN,RPL11B,FALSE,NA,HIT
SK1_16T00100.1|CDS=1-978|Name=YPL273W|SAM4,587.8577268,-2.637944476,0.248875682,-10.59944649,3.00E-26,6.45E-25,DOWN,SAM4,FALSE,NA,HIT
SK1_15T04050.1|CDS=1-318|Name=YOR293W|RPS10A,744.8742952,-2.27527498,0.214668943,-10.59899467,3.01E-26,6.46E-25,DOWN,RPS10A,FALSE,NA,HIT
SK1_02T03670.1|CDS=1-2424|Name=YBR276C|PPS1,328.2763181,-1.641461803,0.155475305,-10.55770111,4.68E-26,9.88E-25,DOWN,PPS1,FALSE,NA,HIT
SK1_04T01620.1|CDS=1-342|Name=YDL075W|RPL31A,602.8893966,-1.785175715,0.169363946,-10.54047074,5.62E-26,1.17E-24,DOWN,RPL31A,FALSE,NA,HIT
SK1_05T01490.1|CDS=1-408|Name=YER074W|RPS24A,501.4069949,-1.653898772,0.157068195,-10.52981333,6.30E-26,1.30E-24,DOWN,RPS24A,FALSE,NA,HIT
SK1_15T00360.1|CDS=1-561|Name=YOL120C|RPL18A,1154.201437,-1.92622542,0.183479636,-10.4983063,8.79E-26,1.81E-24,DOWN,RPL18A,FALSE,NA,HIT
SK1_11T00620.1|CDS=1-270|Name=YKL156W|RPS27A,232.6744121,-2.060305099,0.196365054,-10.49221876,9.38E-26,1.92E-24,DOWN,RPS27A,FALSE,NA,HIT
SK1_05T02330.1|CDS=1-1704|Name=YER158C|YER158C,1631.634235,-1.418113623,0.135556339,-10.46143351,1.30E-25,2.64E-24,DOWN,YER158C,FALSE,NA,NO
SK1_15T00030.1|CDS=1-1821|Name=YOL158C|ENB1,1550.871582,-1.879876871,0.179740989,-10.45881012,1.34E-25,2.71E-24,DOWN,ENB1,FALSE,NA,HIT
SK1_09T00140.1|CDS=1-1950|Name=YIL155C|GUT2,4971.492614,-2.17093767,0.207704378,-10.45205541,1.43E-25,2.89E-24,DOWN,GUT2,FALSE,NA,HIT
SK1_08T02330.1|CDS=1-1335|Name=YHR190W|ERG9,1172.261546,-1.737376725,0.166631441,-10.42646403,1.88E-25,3.78E-24,DOWN,ERG9,FALSE,NA,HIT
SK1_15T00190.1|CDS=1-1272|Name=YOL140W|ARG8,1024.324828,-2.649944954,0.254241029,-10.42296344,1.95E-25,3.90E-24,DOWN,ARG8,FALSE,NA,HIT
